run_name,p_layers,graph_index,start_gap,end_gap,delta_gap,slope_gap,max_gap
qaoa_pps_q30_g03_p05_wmyz_mw1000000000,5,3,1.1630047637939498,15.094286566162111,13.931281802368161,4.004750882263183,17.51011842041015
qaoa_pps_q30_g01_p05_wmyz_mw1000000000,5,1,0.5712000244140683,10.025096649169924,9.453896624755856,1.298620751647948,10.025096649169924
qaoa_pps_q30_g03_p03_wmyz_mw1000000000,3,3,1.2117543533325232,5.12989204406739,3.9181376907348664,1.2631594393920906,5.266178399658202
qaoa_pps_q30_g02_p03_wmyz_mw1000000000,3,2,1.294551678466803,4.902791787719721,3.608240109252918,1.1604788995361304,5.670523114013676
qaoa_pps_q30_g01_p03_wmyz_mw1000000000,3,1,1.3229740478515595,4.37218371276856,3.049209664917001,1.040982811279298,4.469778698730465
qaoa_pps_q30_g02_p11_wmyz_mw1000000000,11,2,0.09660170288086078,2.685474822998046,2.588873120117185,0.7802166574096675,2.690886923217775
qaoa_pps_q30_g01_p07_wmyz_mw1000000000,7,1,0.24996323852539604,2.452132220458978,2.202168981933582,0.4007937072753875,2.452132220458978
qaoa_pps_q30_g03_p07_wmyz_mw1000000000,7,3,0.11453672485352229,1.8481572265625061,1.7336205017089839,0.31443674835204977,1.8481572265625061
qaoa_pps_q30_g01_p09_wmyz_mw1000000000,9,1,0.8011340332031267,0.8186875732421868,0.017553540039060067,0.09088834350585827,2.0043270080566344
qaoa_pps_q30_g02_p09_wmyz_mw1000000000,9,2,1.8920975433349554,1.870583618164062,-0.021513925170893344,-0.20428439025878914,2.5426153015136777
qaoa_pps_q30_g02_p07_wmyz_mw1000000000,7,2,0.9831757202148452,0.9161242980957098,-0.0670514221191354,0.23132941070556823,2.833988931274419
qaoa_pps_q30_g01_p11_wmyz_mw1000000000,11,1,1.1223602050781238,0.8299466308593679,-0.2924135742187559,-0.04080363708496165,1.6109402374267603
